,nome,cpf,idade,data,endereco,estado,pais
0,Felipe Andrade,572.908.634-29,37,16/06/1988,"Pátio Lopes, 758
Santa Rita
34305888 Cavalcanti Alegre / PE",Paraíba,Brasil
1,Sr. Isaque Azevedo,192.765.348-73,57,07/03/1968,"Feira de Ribeiro, 1
Califórnia
20648962 Siqueira / GO",Pernambuco,Brasil
2,Alexandre Duarte,659.724.130-43,54,10/11/1970,"Trevo Francisco Duarte, 65
Vera Cruz
85658-507 Cunha / AL",Sergipe,Brasil
3,João Guilherme Ramos,207.143.859-05,55,19/04/1970,"Sítio da Rocha, 9
Vila Antena Montanhês
70172970 Barros / MT",Roraima,Brasil
4,Ana Ribeiro,971.526.340-25,49,28/07/1976,"Vale Sá, 98
Vila Mantiqueira
19121-764 Rezende / MG",Paraná,Brasil
5,Breno Oliveira,590.617.384-66,46,09/02/1979,"Favela de Vasconcelos, 107
Vila Bandeirantes
94443-197 Gonçalves Alegre / AM",Distrito Federal,Brasil
6,Dr. Felipe Macedo,514.269.083-42,24,21/04/2001,"Campo Pires, 92
Corumbiara
73962-614 Novais / SC",Tocantins,Brasil
7,Sophia Azevedo,863.147.025-26,26,29/05/1999,"Núcleo Oliveira, 5
Bacurau
68174497 Vasconcelos / RR",Santa Catarina,Brasil
8,Sra. Daniela Carvalho,132.657.498-19,26,02/01/1999,"Parque de Fogaça, 63
Cônego Pinheiro 1ª Seção
13833-714 Sá / PI",Paraíba,Brasil
9,Sr. Vitor Hugo Câmara,719.203.685-40,32,12/03/1993,"Lagoa de Sousa, 46
Vila Engenho Nogueira
22076884 Fonseca Paulista / SC",Pernambuco,Brasil
10,Pietro Guerra,219.340.578-60,55,15/05/1970,"Estação Mariane Pereira, 52
Vila Real 2ª Seção
06285-488 Araújo / AC",Acre,Brasil
11,Daniela Albuquerque,492.076.831-13,30,16/01/1995,"Favela Raul Brito, 138
Jaqueline
84979246 Novais / TO",Santa Catarina,Brasil
12,João Vitor da Cunha,734.569.801-75,27,15/03/1998,"Praça da Cruz, 56
São Vicente
82041-755 Pereira do Galho / AP",Goiás,Brasil
13,Marina Fonseca,408.213.769-69,34,13/06/1991,"Recanto de da Rocha, 39
Grotinha
84049-788 Borges / SP",Acre,Brasil
14,Gael Abreu,612.397.058-59,46,12/10/1979,"Trevo Caldeira, 6
Pirineus
00318-380 Cardoso / RS",Maranhão,Brasil
15,Josué Dias,651.897.340-48,30,20/10/1995,"Recanto de Silveira, 44
Baleia
11661-560 Cardoso / AL",Santa Catarina,Brasil
16,Vinícius Ramos,120.869.574-67,46,18/08/1979,"Residencial Machado, 8
Vila Ipiranga
78579853 Machado de Fogaça / AM",Pernambuco,Brasil
17,Ana Clara da Paz,590.374.286-65,52,05/04/1973,"Rodovia Rocha, 46
Conjunto Capitão Eduardo
94107322 Vasconcelos / PI",Minas Gerais,Brasil
18,Pedro Miguel Vieira,279.160.583-59,37,22/10/1988,"Chácara de Vasconcelos, 96
Céu Azul
20511355 Costa de Melo / AC",Sergipe,Brasil
19,Davi Miguel Novais,154.879.230-60,56,08/11/1968,"Praia Peixoto, 75
Vila Paraíso
42127387 Rodrigues de da Luz / ES",Mato Grosso,Brasil
20,Maria Luísa Monteiro,534.806.972-83,48,13/12/1976,"Chácara de Alves, 85
Sagrada Família
34933-102 Souza / ES",São Paulo,Brasil
21,José Miguel Macedo,054.193.687-57,28,09/12/1996,"Jardim Nunes, 792
Vila Nova
54186171 Dias / GO",São Paulo,Brasil
22,Sr. João Miguel Melo,710.849.635-66,32,21/03/1993,"Viaduto de Ribeiro, 97
Santa Branca
60918290 Costa Alegre / MA",Alagoas,Brasil
23,Maria Vitória Peixoto,107.325.649-99,46,13/11/1978,"Praça Macedo, 92
Jaqueline
83885211 Duarte Alegre / GO",Paraná,Brasil
24,Maria Liz da Cruz,321.746.890-22,40,31/01/1985,"Via Isis da Luz, 2
Graça
61074683 Almeida de Moura / PI",Ceará,Brasil
25,Dr. Ravi Lucca Teixeira,054.172.963-25,18,10/03/2007,"Feira Augusto da Cunha, 8
Ribeiro De Abreu
44855567 Monteiro Alegre / ES",Amazonas,Brasil
26,Esther Albuquerque,634.509.128-60,48,14/03/1977,"Lago Maria Cecília Cavalcanti, 59
Vila Boa Vista
34342-592 da Rosa Alegre / RJ",Goiás,Brasil
27,Luan Camargo,704.968.135-01,54,07/10/1971,"Viaduto de da Conceição, 46
Cidade Jardim
57363212 Almeida das Flores / PE",Rondônia,Brasil
28,Sra. Joana Leão,216.407.539-07,29,08/09/1996,"Área de Leão, 70
Vila Esplanada
14033869 Pereira / PI",Alagoas,Brasil
29,Theodoro Correia,273.185.069-86,42,25/08/1983,"Campo da Conceição, 612
Grotinha
90660989 Martins Grande / AM",Pará,Brasil
30,Valentina Cunha,467.852.309-00,55,21/04/1970,"Vila de Vasconcelos, 94
Vila Cloris
77200835 Cardoso de Nogueira / SP",Tocantins,Brasil
31,Maria Vitória Souza,093.824.716-69,22,12/03/2003,"Colônia da Costa, 22
Parque São José
85154-743 Fernandes / TO",Pernambuco,Brasil
32,Sr. Théo Camargo,241.739.058-23,54,03/02/1971,"Largo de Pastor, 725
Conjunto Califórnia Ii
24919848 Carvalho / RR",Mato Grosso do Sul,Brasil
33,Enrico Pimenta,259.610.348-60,25,29/05/2000,"Via Barbosa, 17
Vila Suzana Primeira Seção
34912-608 Aragão do Sul / SE",Amapá,Brasil
34,Eloah Lopes,964.817.503-93,20,24/12/2004,"Estrada Ferreira, 12
São João
29296121 Novais / MG",Piauí,Brasil
35,Maria Isis Azevedo,846.079.315-00,22,23/11/2002,"Chácara Ana Laura da Conceição, 56
Aarão Reis
00721431 Pinto / RS",Santa Catarina,Brasil
36,Dr. Breno Viana,568.302.491-98,28,27/06/1997,"Trevo de Siqueira, 65
Mariano De Abreu
56425-115 Pastor do Norte / RS",Acre,Brasil
37,Manuela Dias,473.052.698-83,31,30/11/1993,"Morro Lorenzo Souza
Serra Do Curral
84868-994 Camargo / PE",Alagoas,Brasil
