,nome,cpf,idade,data,endereco,estado
0,Felipe Andrade,572.908.634-29,37,1988-06-16,"pátio lopes, 758
santa rita
34305888 cavalcanti alegre / pe",PARAÍBA
1,Sr. Isaque Azevedo,192.765.348-73,57,1968-03-07,"feira de ribeiro, 1
califórnia
20648962 siqueira / go",PERNAMBUCO
2,João Guilherme Ramos,207.143.859-05,55,1970-04-19,"sítio da rocha, 9
vila antena montanhês
70172970 barros / mt",RORAIMA
3,Ana Ribeiro,971.526.340-25,49,1976-07-28,"vale sá, 98
vila mantiqueira
19121-764 rezende / mg",PARANÁ
4,Breno Oliveira,590.617.384-66,46,1979-02-09,"favela de vasconcelos, 107
vila bandeirantes
94443-197 gonçalves alegre / am",DISTRITO FEDERAL
5,Dr. Felipe Macedo,514.269.083-42,24,2001-04-21,"campo pires, 92
corumbiara
73962-614 novais / sc",TOCANTINS
6,Sophia Azevedo,863.147.025-26,26,1999-05-29,"núcleo oliveira, 5
bacurau
68174497 vasconcelos / rr",SANTA CATARINA
7,Sra. Daniela Carvalho,132.657.498-19,26,1999-01-02,"parque de fogaça, 63
cônego pinheiro 1ª seção
13833-714 sá / pi",PARAÍBA
8,Sr. Vitor Hugo Câmara,719.203.685-40,32,1993-03-12,"lagoa de sousa, 46
vila engenho nogueira
22076884 fonseca paulista / sc",PERNAMBUCO
9,Pietro Guerra,219.340.578-60,55,1970-05-15,"estação mariane pereira, 52
vila real 2ª seção
06285-488 araújo / ac",ACRE
10,Daniela Albuquerque,492.076.831-13,30,1995-01-16,"favela raul brito, 138
jaqueline
84979246 novais / to",SANTA CATARINA
11,João Vitor Da Cunha,734.569.801-75,27,1998-03-15,"praça da cruz, 56
são vicente
82041-755 pereira do galho / ap",GOIÁS
12,Marina Fonseca,408.213.769-69,34,1991-06-13,"recanto de da rocha, 39
grotinha
84049-788 borges / sp",ACRE
13,Gael Abreu,612.397.058-59,46,1979-10-12,"trevo caldeira, 6
pirineus
00318-380 cardoso / rs",MARANHÃO
14,Josué Dias,651.897.340-48,30,1995-10-20,"recanto de silveira, 44
baleia
11661-560 cardoso / al",SANTA CATARINA
15,Vinícius Ramos,120.869.574-67,46,1979-08-18,"residencial machado, 8
vila ipiranga
78579853 machado de fogaça / am",PERNAMBUCO
16,Ana Clara Da Paz,590.374.286-65,52,1973-04-05,"rodovia rocha, 46
conjunto capitão eduardo
94107322 vasconcelos / pi",MINAS GERAIS
17,Pedro Miguel Vieira,279.160.583-59,37,1988-10-22,"chácara de vasconcelos, 96
céu azul
20511355 costa de melo / ac",SERGIPE
18,Davi Miguel Novais,154.879.230-60,56,1968-11-08,"praia peixoto, 75
vila paraíso
42127387 rodrigues de da luz / es",MATO GROSSO
19,Maria Luísa Monteiro,534.806.972-83,48,1976-12-13,"chácara de alves, 85
sagrada família
34933-102 souza / es",SÃO PAULO
20,José Miguel Macedo,054.193.687-57,28,1996-12-09,"jardim nunes, 792
vila nova
54186171 dias / go",SÃO PAULO
21,Sr. João Miguel Melo,710.849.635-66,32,1993-03-21,"viaduto de ribeiro, 97
santa branca
60918290 costa alegre / ma",ALAGOAS
22,Maria Vitória Peixoto,107.325.649-99,46,1978-11-13,"praça macedo, 92
jaqueline
83885211 duarte alegre / go",PARANÁ
23,Maria Liz Da Cruz,321.746.890-22,40,1985-01-31,"via isis da luz, 2
graça
61074683 almeida de moura / pi",CEARÁ
24,Dr. Ravi Lucca Teixeira,054.172.963-25,18,2007-03-10,"feira augusto da cunha, 8
ribeiro de abreu
44855567 monteiro alegre / es",AMAZONAS
25,Esther Albuquerque,634.509.128-60,48,1977-03-14,"lago maria cecília cavalcanti, 59
vila boa vista
34342-592 da rosa alegre / rj",GOIÁS
26,Luan Camargo,704.968.135-01,54,1971-10-07,"viaduto de da conceição, 46
cidade jardim
57363212 almeida das flores / pe",RONDÔNIA
27,Sra. Joana Leão,216.407.539-07,29,1996-09-08,"área de leão, 70
vila esplanada
14033869 pereira / pi",ALAGOAS
28,Theodoro Correia,273.185.069-86,42,1983-08-25,"campo da conceição, 612
grotinha
90660989 martins grande / am",PARÁ
29,Valentina Cunha,467.852.309-00,55,1970-04-21,"vila de vasconcelos, 94
vila cloris
77200835 cardoso de nogueira / sp",TOCANTINS
30,Maria Vitória Souza,093.824.716-69,22,2003-03-12,"colônia da costa, 22
parque são josé
85154-743 fernandes / to",PERNAMBUCO
31,Sr. Théo Camargo,241.739.058-23,54,1971-02-03,"largo de pastor, 725
conjunto califórnia ii
24919848 carvalho / rr",MATO GROSSO DO SUL
32,Enrico Pimenta,259.610.348-60,25,2000-05-29,"via barbosa, 17
vila suzana primeira seção
34912-608 aragão do sul / se",AMAPÁ
33,Eloah Lopes,964.817.503-93,20,2004-12-24,"estrada ferreira, 12
são joão
29296121 novais / mg",PIAUÍ
34,Maria Isis Azevedo,846.079.315-00,22,2002-11-23,"chácara ana laura da conceição, 56
aarão reis
00721431 pinto / rs",SANTA CATARINA
35,Dr. Breno Viana,568.302.491-98,28,1997-06-27,"trevo de siqueira, 65
mariano de abreu
56425-115 pastor do norte / rs",ACRE
36,Manuela Dias,473.052.698-83,31,1993-11-30,"morro lorenzo souza
serra do curral
84868-994 camargo / pe",ALAGOAS
37,Luiz Henrique Moreira,950.872.146-49,54,1970-12-27,"morro da rosa
pongelupe
46043926 da luz / pr",PARAÍBA
38,Stella Moraes,569.412.087-67,55,1970-07-08,"viela marques, 97
ventosa
55552-138 silveira do amparo / sp",ESPÍRITO SANTO
39,Rael Cirino,134.865.297-73,52,1973-01-24,"conjunto gonçalves, 52
liberdade
42938-309 mendonça da praia / al",GOIÁS
40,Theo Pires,830.615.472-07,27,1998-09-08,"recanto santos, 65
luxemburgo
45409-438 sá / rj",PARANÁ
41,Liam Cunha,375.402.986-00,51,1974-03-02,"rodovia de pereira, 68
bela vitoria
23976235 da rocha das flores / ba",PIAUÍ
42,Dr. Leonardo Araújo,385.469.021-51,32,1993-03-06,"via de da costa, 16
monsenhor messias
04822-836 da rosa / ba",RIO GRANDE DO NORTE
43,Bernardo Lima,179.546.302-34,48,1976-11-13,"pátio cavalcanti
flavio marques lisboa
06676-537 ferreira das pedras / ce",BAHIA
